organisation,records_lost,year,sector,method,sensitivity
Plex,15000000,2022,web,hacked,1.0
Twitter,5400000,2021,web,hacked,2.0
Shanghai Police,500000000,2022,finance,hacked,5.0
"City of Amagasaki, Japan",500000,2022,government,oops!,3.0
Dubai Real Estate Leak,800000,2022,finance,inside job,1.0
Heroku,50000,2022,tech,hacked,2.0
Mailchimp,106586,2022,tech,hacked,1.0
PayHere,1580249,2022,finance,hacked,3.0
CDEK,18218203,2022,retail,hacked,3.0
Washington State Dpt of Licensing,257000,2022,government,hacked,3.0
Red Cross,500000,2022,ngo,hacked,4.0
Open Subtitles,100000,2022,web,hacked,1.0
FlexBooker,3700000,2022,web,hacked,3.0
LINE Pay,133000,2021,finance,poor security,2.0
Robinhood,5000937,2021,finance,hacked,2.0
GoDaddy,1200000,2021,web,hacked,1.0
Travelio,471376,2021,misc,hacked,2.0
Acer,3000000,2021,tech,hacked,1.0
Brewdog,200000,2021,retail,poor security,1.0
Nvidia,100000,2021,tech,hacked,2.0
Okta,100000,2021,tech,hacked,1.0
Experian SA,24000000,2020,web,oops!,3.0
Royal Enfield,420873,2020,transport,poor security,3.0
Avvo,4101101,2019,legal,hacked,1.0
Aimware,305470,2019,gaming,hacked,3.0
Twitch,10000000,2021,gaming,hacked,4.0
Syniverse,500000000,2021,telecoms,hacked,4.0
Pandora Papers,11900000,2021,government,hacked,4.0
Neiman Marcus,4600000,2021,retail,hacked,3.0
Epik,15000000,2021,retail,hacked,5.0
Thailand visitors,100000000,2021,government,poor security,2.0
T-Mobile ,76000000,2021,telecoms,hacked,3.0
Contact tracing data,38000000,2021,telecoms,hacked,3.0
Estonian gov,280000,2021,government,hacked,4.0
Guntrader,111000,2021,retail,hacked,2.0
Linkedin,700000000,2021,web,hacked,1.0
VW,3300000,2021,transport,hacked,2.0
MacDonalds,10000000,2021,retail,hacked,2.0
Air India,4500000,2021,transport,hacked,2.0
Omiai dating app,1710000,2021,app,hacked,2.0
Amazon Reviews,13124962,2021,web,poor security,2.0
Peloton,3000000,2021,tech,poor security,2.0
Digital Ocean,10000000,2021,tech,poor security,
Park Mobile,21000000,2021,transport,hacked,2.0
Ubiquiti,16000000,2021,tech,hacked,2.0
Meet Mindful,2240000,2021,tech,hacked,4.0
Experian Brazil,220000000,2021,finance,hacked,2.0
Gab,4000000,2021,tech,hacked,3.0
Star Alliance,16000000,2021,transport,hacked,1.0
Facebook,533000000,2021,tech,hacked,1.0
Ledger,270000,2020,finance,hacked,2.0
T-mobile,200000,2020,telecoms,hacked,1.0
The Hospital Group,1000000,2020,health,hacked,4.0
SolarWinds,50000000,2020,app,hacked,3.0
Ho Mobile,2500000,2020,telecoms,hacked,2.0
Spotify,500000,2020,app,oops!,1.0
Drizly,2400000,2020,app,hacked,2.0
GEDmatch,1400000,2020,misc,hacked,5.0
Call of Duty / Activision,500000,2020,gaming,hacked,1.0
Zhenhua,2400000,2020,misc,oops!,1.0
Cense AI,2500000,2020,tech,poor security,4.0
Nintendo,300000,2020,gaming,hacked,3.0
Pakistani mobile operators,115000000,2020,telecoms,hacked,2.0
US Marshals Service,387000,2020,government,hacked,2.0
db8151dd,22000000,2020,web,hacked,2.0
EasyJet,9000000,2020,transport,hacked,3.0
Microsoft,250000000,2020,web,poor security,1.0
Dutch Government,6900000,2020,government,lost device,4.0
